KUNNR	HKUNNR
0000000130	0009000071
0000000152	0009000305
0000000169	0009000149
0000000731	0009000021
0000000749	0009000048
0000000760	0009000083
0000000763	0009000102
0000000779	0009000027
0000000780	0009000097
0000000786	0009000103
0000000793	0009000072
0000000798	0009000115
0000100019	0009000084
0000100020	0009000084
0000100021	0009000115
0000100023	0009000018
0000100024	0009000048
0000100025	0009000048
0000100026	0009000220
0000100027	0009000220
0000100028	0009000084
0000100029	0009000050
0000100030	0009000050
0000100031	0009000109
0000100032	0009000109
0000100035	0009000048
0000100037	0009000084
0000100038	0009000109
0000100039	0009000084
0000100040	0009000109
0000100041	0009000084
0000100043	0009000084
0000100046	0009000109
0000100047	0009000109
0000100048	0009000135
0000100052	0009000220
0000100053	0009000084
0000100054	0009000084
0000100056	0009000052
0000100058	0009000058
0000100059	0009000058
0000100060	0009000185
0000100061	0009000185
0000100062	0009000084
0000100063	0009000084
0000100065	0009000084
0000100066	0009000135
0000100067	0009000084
0000100068	0009000084
0000100069	0009000210
0000100070	0009000109
0000100071	0009000285
0000100072	0009000147
0000100076	0009000049
0000100077	0009000185
0000100078	0009000163
0000100079	0009000163
0000100080	0009000123
0000100081	0009000115
0000100082	0009000084
0000100084	0009000109
0000100086	0009000084
0000100087	0009000133
0000100089	0009000084
0000100091	0009000109
0000100092	0009000133
0000100094	0009000109
0000100095	0009000109
0000100096	0009000050
0000100097	0009000109
0000100098	0009000115
0000100099	0009000084
0000100101	0009000220
0000100102	0009000133
0000100103	0009000109
0000100104	0009000130
0000100105	0009000049
0000100106	0009000109
0000100107	0009000109
0000100108	0009000185
0000100109	0009000086
0000100110	0009000109
0000100111	0009000127
0000100112	0009000127
0000100113	0009000109
0000100114	0009000030
0000100115	0009000030
0000100116	0009000030
0000100117	0009000030
0000100118	0009000018
0000100119	0009000030
0000100120	0009000030
0000100121	0009000030
0000100122	0009000030
0000100123	0009000030
0000100124	0009000030
0000100125	0009000030
0000100126	0009000052
0000100127	0009000127
0000100128	0009000127
0000100129	0009000127
0000100130	0009000127
0000100131	0009000051
0000100132	0009000052
0000100146	0009000050
0000100148	0009000033
0000100149	0009000130
0000100150	0009000050
0000100151	0009000048
0000100152	0009000084
0000100155	0009000130
0000100156	0009000109
0000100157	0009000051
0000100158	0009000048
0000100159	0009000052
0000100160	0009000135
0000100161	0009000027
0000100162	0009000130
0000100163	0009000084
0000100164	0009000135
0000100166	0009000033
0000100167	0009000033
0000100168	0009000033
0000100169	0009000027
0000100170	0009000027
0000100172	0009000066
0000100173	0009000185
0000100174	0009000130
0000100175	0009000220
0000100176	0009000220
0000100178	0009000084
0000100182	0009000109
0000100184	0009000119
0000100186	0009000052
0000100187	0009000220
0000100188	0009000132
0000100189	0009000220
0000100192	0009000055
0000100196	0009000055
0000100197	0009000055
0000100200	0009000052
0000100201	0009000163
0000100202	0009000058
0000100203	0009000058
0000100207	0009000033
0000100210	0009000109
0000100211	0009000107
0000100212	0009000052
0000100213	0009000185
0000100215	0009000050
0000100216	0009000050
0000100217	0009000050
0000100218	0009000047
0000100219	0009000123
0000100220	0009000123
0000100221	0009000050
0000100222	0009000109
0000100223	0009000084
0000100224	0009000050
0000100225	0009000109
0000100226	0009000109
0000100228	0009000150
0000100229	0009000150
0000100230	0009000109
0000100232	0009000107
0000100234	0009000130
0000100235	0009000130
0000100236	0009000130
0000100237	0009000130
0000100238	0009000130
0000100239	0009000130
0000100240	0009000130
0000100241	0009000130
0000100242	0009000050
0000100243	0009000084
0000100244	0009000047
0000100245	0009000052
0000100251	0009000133
0000100252	0009000220
0000100253	0009000220
0000100254	0009000220
0000100255	0009000220
0000100256	0009000220
0000100257	0009000265
0000100258	0009000220
0000100259	0009000220
0000100260	0009000220
0000100261	0009000220
0000100262	0009000147
0000100263	0009000265
0000100264	0009000109
0000100265	0009000109
0000100266	0009000109
0000100267	0009000147
0000100268	0009000109
0000100270	0009000109
0000100271	0009000109
0000100272	0009000109
0000100273	0009000109
0000100274	0009000109
0000100275	0009000109
0000100276	0009000133
0000100278	0009000133
0000100279	0009000109
0000100280	0009000133
0000100281	0009000109
0000100282	0009000109
0000100283	0009000109
0000100284	0009000133
0000100285	0009000109
0000100286	0009000109
0000100289	0009000109
0000100290	0009000109
0000100291	0009000109
0000100292	0009000084
0000100293	0009000027
0000100294	0009000027
0000100295	0009000109
0000100296	0009000027
0000100297	0009000052
0000100298	0009000109
0000100299	0009000109
0000100300	0009000109
0000100301	0009000133
0000100302	0009000141
0000100306	0009000109
0000100307	0009000185
0000100308	0009000123
0000100309	0009000055
0000100312	0009000084
0000100313	0009000127
0000100314	0009000130
0000100317	0009000133
0000100318	0009000185
0000100319	0009000135
0000100320	0009000135
0000100322	0009000084
0000100324	0009000133
0000100326	0009000127
0000100327	0009000127
0000100328	0009000127
0000100329	0009000050
0000100330	0009000050
0000100332	0009000084
0000100333	0009000109
0000100334	0009000115
0000100335	0009000075
0000100390	0009000083
0000100444	0009000076
0000100445	0009000084
0000100448	0009000048
0000100450	0009000084
0000100451	0009000133
0000100452	0009000130
0000100453	0009000123
0000100461	0009000084
0000100462	0009000130
0000100463	0009000133
0000100466	0009000215
0000100467	0009000052
0000100469	0009000109
0000100470	0009000084
0000100476	0009000109
0000100477	0009000050
0000100479	0009000033
0000100480	0009000109
0000100484	0009000147
0000100485	0009000109
0000100487	0009000133
0000100488	0009000084
0000100489	0009000123
0000100490	0009000220
0000100491	0009000050
0000100492	0009000109
0000100493	0009000115
0000100494	0009000097
0000100495	0009000084
0000100496	0009000084
0000100497	0009000084
0000100498	0009000076
0000100500	0009000011
0000100501	0009000076
0000100502	0009000109
0000100506	0009000109
0000100507	0009000084
0000100508	0009000084
0000100509	0009000185
0000100510	0009000185
0000100511	0009000047
0000100513	0009000109
0000100514	0009000130
0000100515	0009000068
0000100516	0009000068
0000100517	0009000109
0000100518	0009000151
0000100519	0009000151
0000100520	0009000151
0000100521	0009000151
0000100522	0009000151
0000100531	0009000109
0000100534	0009000109
0000100535	0009000109
0000100536	0009000076
0000100542	0009000094
0000100543	0009000094
0000100545	0009000094
0000100547	0009000123
0000100548	0009000084
0000100550	0009000050
0000100552	0009000080
0000100553	0009000084
0000100555	0009000109
0000100557	0009000051
0000100558	0009000135
0000100559	0009000135
0000100563	0009000027
0000100564	0009000109
0000100565	0009000109
0000100566	0009000049
0000100567	0009000109
0000100569	0009000109
0000100571	0009000084
0000100574	0009000130
0000100576	0009000147
0000100579	0009000109
0000100581	0009000084
0000100582	0009000052
0000100587	0009000133
0000100588	0009000051
0000100589	0009000033
0000100590	0009000050
0000100591	0009000050
0000100592	0009000050
0000100593	0009000050
0000100594	0009000050
0000100595	0009000050
0000100596	0009000050
0000100598	0009000109
0000100599	0009000109
0000100601	0009000048
0000100603	0009000082
0000100604	0009000082
0000100605	0009000082
0000100606	0009000082
0000100607	0009000082
0000100608	0009000082
0000100609	0009000076
0000100610	0009000109
0000100614	0009000033
0000100615	0009000084
0000100616	0009000084
0000100617	0009000185
0000100618	0009000185
0000100619	0009000119
0000100620	0009000121
0000100621	0009000018
0000100622	0009000220
0000100623	0009000109
0000100625	0009000133
0000100627	0009000084
0000100628	0009000084
0000100629	0009000109
0000100632	0009000084
0000100633	0009000109
0000100635	0009000185
0000100637	0009000075
0000100638	0009000107
0000100639	0009000109
0000100642	0009000027
0000100645	0009000027
0000100648	0009000084
0000100649	0009000123
0000100650	0009000123
0000100657	0009000109
0000100658	0009000050
0000100659	0009000050
0000100661	0009000130
0000100662	0009000130
0000100663	0009000109
0000100664	0009000112
0000100665	0009000049
0000100666	0009000027
0000100667	0009000050
0000100668	0009000050
0000100669	0009000084
0000100670	0009000084
0000100671	0009000050
0000100672	0009000052
0000100673	0009000052
0000100674	0009000050
0000100675	0009000052
0000100677	0009000052
0000100678	0009000052
0000100679	0009000052
0000100680	0009000052
0000100681	0009000050
0000100682	0009000052
0000100683	0009000052
0000100685	0009000052
0000100686	0009000084
0000100687	0009000220
0000100691	0009000147
0000100696	0009000049
0000100697	0009000109
0000100698	0009000084
0000100700	0009000109
0000100701	0009000084
0000100702	0009000149
0000100703	0009000149
0000100711	0009000135
0000100718	0009000109
0000100728	0009000052
0000100730	0009000049
0000100753	0009000135
0000100754	0009000084
0000100756	0009000052
0000100759	0009000220
0000100769	0009000141
0000100770	0009000123
0000100772	0009000109
0000100778	0009000109
0000100779	0009000109
0000100782	0009000084
0000100784	0009000033
0000100785	0009000084
0000100786	0009000084
0000100787	0009000109
0000100789	0009000027
0000100793	0009000084
0000100794	0009000050
0000100796	0009000220
0000100798	0009000049
0000100808	0009000084
0000100809	0009000052
0000100810	0009000048
0000100812	0009000109
0000100813	0009000050
0000100814	0009000149
0000100815	0009000149
0000100820	0009000049
0000100823	0009000049
0000100824	0009000052
0000100828	0009000050
0000100829	0009000109
0000100830	0009000109
0000100834	0009000050
0000100836	0009000083
0000100839	0009000109
0000100840	0009000083
0000100843	0009000052
0000100846	0009000018
0000100848	0009000018
0000100849	0009000084
0000100851	0009000084
0000100860	0009000109
0000100861	0009000149
0000100862	0009000109
0000100863	0009000149
0000100865	0009000050
0000100868	0009000109
0000100869	0009000109
0000100870	0009000066
0000100874	0009000047
0000100876	0009000084
0000100877	0009000149
0000100878	0009000149
0000100879	0009000050
0000100880	0009000049
0000100881	0009000049
0000100882	0009000130
0000100884	0009000135
0000100885	0009000135
0000100886	0009000084
0000100887	0009000123
0000100888	0009000027
0000100889	0009000084
0000100890	0009000109
0000100891	0009000109
0000100893	0009000109
0000100894	0009000050
0000100896	0009000220
0000100897	0009000133
0000100898	0009000133
0000100899	0009000220
0000100900	0009000220
0000100901	0009000109
0000100903	0009000109
0000100906	0009000109
0000100907	0009000109
0000100908	0009000133
0000100909	0009000109
0000100910	0009000133
0000100911	0009000109
0000100912	0009000109
0000100913	0009000109
0000100914	0009000109
0000100915	0009000109
0000100916	0009000109
0000100918	0009000109
0000100919	0009000109
0000100920	0009000109
0000100921	0009000109
0000100922	0009000109
0000100923	0009000109
0000100924	0009000109
0000100925	0009000109
0000100926	0009000109
0000100928	0009000109
0000100929	0009000109
0000100930	0009000109
0000100931	0009000109
0000100932	0009000109
0000100933	0009000109
0000100934	0009000045
0000100935	0009000109
0000100936	0009000045
0000100937	0009000109
0000100938	0009000109
0000100939	0009000109
0000100940	0009000109
0000100941	0009000109
0000100942	0009000109
0000100943	0009000109
0000100944	0009000045
0000100945	0009000109
0000100946	0009000045
0000100947	0009000109
0000100948	0009000109
0000100949	0009000109
0000100950	0009000109
0000100951	0009000109
0000100952	0009000109
0000100953	0009000109
0000100954	0009000109
0000100955	0009000045
0000100956	0009000109
0000100957	0009000109
0000100958	0009000109
0000100959	0009000109
0000100960	0009000109
0000100961	0009000109
0000100962	0009000045
0000100963	0009000109
0000100964	0009000109
0000100965	0009000045
0000100966	0009000109
0000100967	0009000109
0000100968	0009000109
0000100969	0009000109
0000100970	0009000109
0000100971	0009000109
0000100972	0009000109
0000100973	0009000109
0000100974	0009000109
0000100975	0009000045
0000100976	0009000109
0000100977	0009000109
0000100978	0009000045
0000100979	0009000109
0000100980	0009000109
0000100981	0009000109
0000100982	0009000109
0000100984	0009000109
0000100985	0009000109
0000100986	0009000109
0000100987	0009000109
0000100988	0009000109
0000100989	0009000109
0000100990	0009000109
0000100991	0009000109
0000100992	0009000109
0000100993	0009000045
0000100994	0009000109
0000100995	0009000045
0000100996	0009000045
0000100997	0009000045
0000100998	0009000109
0000100999	0009000109
0000101000	0009000109
0000101001	0009000109
0000101002	0009000109
0000101003	0009000109
0000101004	0009000045
0000101005	0009000109
0000101006	0009000109
0000101007	0009000109
0000101008	0009000109
0000101009	0009000109
0000101010	0009000109
0000101011	0009000109
0000101012	0009000045
0000101013	0009000109
0000101014	0009000109
0000101015	0009000109
0000101016	0009000109
0000101017	0009000109
0000101018	0009000109
0000101019	0009000109
0000101020	0009000045
0000101021	0009000109
0000101022	0009000109
0000101023	0009000109
0000101024	0009000109
0000101025	0009000109
0000101026	0009000109
0000101027	0009000109
0000101028	0009000109
0000101029	0009000109
0000101030	0009000109
0000101031	0009000045
0000101032	0009000109
0000101033	0009000109
0000101034	0009000109
0000101035	0009000109
0000101036	0009000109
0000101037	0009000109
0000101038	0009000109
0000101039	0009000109
0000101040	0009000109
0000101041	0009000109
0000101042	0009000109
0000101043	0009000109
0000101044	0009000109
0000101045	0009000109
0000101046	0009000109
0000101047	0009000109
0000101048	0009000109
0000101049	0009000109
0000101050	0009000109
0000101051	0009000045
0000101053	0009000109
0000101054	0009000109
0000101055	0009000045
0000101056	0009000109
0000101057	0009000045
0000101058	0009000109
0000101059	0009000109
0000101061	0009000109
0000101062	0009000109
0000101064	0009000261
0000101065	0009000109
0000101071	0009000109
0000101072	0009000084
0000101074	0009000050
0000101076	0009000130
0000101077	0009000084
0000101078	0009000047
0000101080	0009000130
0000101082	0009000018
0000101083	0009000084
0000101084	0009000066
0000101085	0009000109
0000101086	0009000030
0000101087	0009000030
0000101088	0009000109
0000101089	0009000050
0000101090	0009000033
0000101091	0009000033
0000101092	0009000084
0000101093	0009000084
0000101094	0009000109
0000101095	0009000109
0000101096	0009000123
0000101097	0009000059
0000101098	0009000109
0000101099	0009000057
0000101100	0009000084
0000101101	0009000084
0000101102	0009000084
0000101103	0009000084
0000101105	0009000048
0000101106	0009000084
0000101108	0009000084
0000101109	0009000084
0000101110	0009000084
0000101143	0009000050
0000101158	0009000141
0000101177	0009000084
0000101183	0009000047
0000101187	0009000084
0000101188	0009000084
0000101190	0009000018
0000101191	0009000018
0000101207	0009000083
0000101216	0009000051
0000101217	0009000084
0000101221	0009000084
0000101222	0009000049
0000101223	0009000050
0000101226	0009000049
0000101228	0009000084
0000101230	0009000075
0000101232	0009000084
0000101233	0009000084
0000101240	0009000084
0000101241	0009000050
0000101245	0009000147
0000101246	0009000109
0000101247	0009000109
0000101248	0009000035
0000101249	0009000084
0000101251	0009000135
0000101252	0009000084
0000101254	0009000027
0000101255	0009000130
0000101256	0009000052
0000101257	0009000109
0000101258	0009000109
0000101259	0009000147
0000101262	0009000052
0000101263	0009000123
0000101264	0009000149
0000101265	0009000123
0000101266	0009000123
0000101270	0009000135
0000101271	0009000130
0000101272	0009000084
0000101274	0009000109
0000101275	0009000123
0000101277	0009000151
0000101278	0009000151
0000101279	0009000151
0000101280	0009000018
0000101282	0009000149
0000101284	0009000149
0000101285	0009000149
0000101286	0009000149
0000101287	0009000149
0000101288	0009000065
0000101289	0009000149
0000101290	0009000149
0000101293	0009000135
0000101294	0009000084
0000101295	0009000084
0000101296	0009000135
0000101332	0009000130
0000101333	0009000130
0000101334	0009000130
0000101336	0009000109
0000101337	0009000123
0000101338	0009000109
0000101339	0009000109
0000101341	0009000027
0000101342	0009000050
0000101343	0009000084
0000101344	0009000047
0000101353	0009000109
0000101355	0009000050
0000101356	0009000050
0000101364	0009000120
0000101365	0009000345
0000101366	0009000148
0000101367	0009000195
0000101368	0009000195
0000101370	0009000030
0000101373	0009000084
0000101374	0009000048
0000101375	0009000050
0000101376	0009000221
0000101377	0009000221
0000101378	0009000047
0000101381	0009000050
0000101383	0009000195
0000101384	0009000195
0000101385	0009000195
0000101386	0009000195
0000101387	0009000195
0000101388	0009000195
0000101389	0009000195
0000101390	0009000195
0000101391	0009000195
0000101392	0009000195
0000101393	0009000195
0000101394	0009000195
0000101395	0009000195
0000101396	0009000195
0000101397	0009000195
0000101399	0009000130
0000101415	0009000109
0000101416	0009000109
0000101417	0009000084
0000101418	0009000084
0000101422	0009000133
0000101426	0009000051
0000102001	0009000000
0000102002	0009000001
0000102003	0009000002
0000102004	0009000003
0000102005	0009000004
0000102006	0009000005
0000102007	0009000006
0000102008	0009000007
0000102009	0009000008
0000102010	0009000009
0000102011	0009000010
0000102012	0009000011
0000102013	0009000012
0000102014	0009000013
0000102015	0009000014
0000102016	0009000076
0000102017	0009000015
0000102018	0009000016
0000102019	0009000017
0000102020	0009000018
0000102021	0009000019
0000102022	0009000020
0000102023	0009000021
0000102024	0009000022
0000102025	0009000023
0000102026	0009000024
0000102027	0009000025
0000102028	0009000026
0000102029	0009000027
0000102030	0009000028
0000102031	0009000029
0000102032	0009000030
0000102033	0009000109
0000102034	0009000032
0000102035	0009000033
0000102036	0009000034
0000102037	0009000035
0000102038	0009000036
0000102039	0009000037
0000102040	0009000076
0000102041	0009000038
0000102042	0009000039
0000102043	0009000040
0000102044	0009000041
0000102045	0009000042
0000102046	0009000043
0000102047	0009000044
0000102048	0009000045
0000102049	0009000046
0000102051	0009000047
0000102052	0009000048
0000102054	0009000049
0000102055	0009000050
0000102056	0009000051
0000102057	0009000052
0000102058	0009000053
0000102059	0009000076
0000102060	0009000054
0000102061	0009000055
0000102062	0009000052
0000102063	0009000057
0000102064	0009000058
0000102065	0009000059
0000102066	0009000060
0000102067	0009000061
0000102068	0009000062
0000102069	0009000063
