KUNNR,SALES_AREA_KUNNR,HKUNNR,SALES_AREA_HKUNNR
0000000270,00201010,0000600045,00201010
0000100001,00201010,0000550126,00201010
0000100002,00201010,0000550126,00201010
0000100003,00201010,0000550126,00201010
0000100004,00201010,0000550126,00201010
0000100005,00201010,0000550126,00201010
0000100006,00201010,0000550126,00201010
0000100007,00201010,0000550126,00201010
0000100008,00201010,0000550126,00201010
0000100009,00201010,0000550126,00201010
0000100010,00201010,0000550126,00201010
0000100011,00201010,0000550126,00201010
0000100012,00201010,0000550126,00201010
0000100013,00201010,0000550126,00201010
0000100014,00201010,0000550126,00201010
0000100015,00201010,0000550126,00201010
0000100016,00201010,0000550126,00201010
0000100017,00201010,0000550126,00201010
0000100018,00201010,0000550126,00201010
0000100019,00201010,0000558613,00201010
0000100020,00201010,0000578320,00201010
0000100021,00201010,0000559636,00201010
0000100023,00201010,0000581526,00201010
0000100025,00201010,0000500258,00201010
0000100026,00201010,0000550999,00201010
0000100027,00201010,0000550999,00201010
0000100028,00201010,0000500093,00201010
0000100029,00201010,0000550147,00201010
0000100030,00201010,0000550150,00201010
0000100031,00201010,0000584711,00201010
0000100032,00201010,0000500686,00201010
0000100033,00201010,0000588199,00201010
0000100034,00201010,0000550251,00201010
0000100035,00201010,0000501397,00201010
0000100036,00201010,0000588318,00201010
0000100037,00201010,0000578320,00201010
0000100038,00201010,0000550285,00201010
0000100039,00201010,0000558613,00201010
0000100040,00201010,0000586927,00201010
0000100041,00201010,0000500101,00201010
0000100042,00201010,0000588199,00201010
0000100043,00201010,0000550612,00201010
0000100044,00201010,0000550126,00201010
0000100045,00201010,0000550126,00201010
0000100046,00201010,0000550699,00201010
0000100047,00201010,0000501148,00201010
0000100048,00201010,0000500000,00201010
0000100049,00201010,0000550126,00201010
0000100050,00201010,0000550126,00201010
0000100051,00201010,0000550126,00201010
0000100052,00201010,0000550999,00201010
0000100053,00201010,0000550612,00201010
0000100054,00201010,0000558613,00201010
