KUNNR	SALES_AREA_KUNNR	HKUNNR	SALES_AREA_HKUNNR
0000500712	00201010	0000558907	00201010
0000501012	00201010	0000558893	00201010
0000500335	00201010	0000558907	00201010
0000500336	00201010	0000558907	00201010
0000500343	00201010	0000558907	00201010
0000500344	00201010	0000558907	00201010
0000500351	00201010	0000558907	00201010
0000500368	00201010	0000558893	00201010
0000500369	00201010	0000558907	00201010
0000500377	00201010	0000558893	00201010
0000500391	00201010	0000558893	00201010
0000500402	00201010	0000558893	00201010
0000500403	00201010	0000558893	00201010
0000500420	00201010	0000558893	00201010
0000500421	00201010	0000558893	00201010
0000500422	00201010	0000558893	00201010
0000500434	00201010	0000558893	00201010
0000500438	00201010	0000558893	00201010
0000500440	00201010	0000558893	00201010
0000500445	00201010	0000558893	00201010
0000500450	00201010	0000558893	00201010
0000500140	00201010	0000569194	00201010
0000500165	00201010	0000569194	00201010
0000550258	00201010	0000558915	00201010
0000390992	00201010	0000557986	00201010
0000391425	00201010	0000557986	00201010
0000391522	00201010	0000557986	00201010
0000391565	00201010	0000557986	00201010
0000391573	00201010	0000557986	00201010
0000392103	00201010	0000557986	00201010
0000392146	00201010	0000557986	00201010
0000392162	00201010	0000557986	00201010
0000392197	00201010	0000557986	00201010
0000392251	00201010	0000557986	00201010
0000392367	00201010	0000557986	00201010
0000392456	00201010	0000557986	00201010
0000392464	00201010	0000557986	00201010
0000392472	00201010	0000557986	00201010
0000392480	00201010	0000557986	00201010
0000392502	00201010	0000557986	00201010
0000392545	00201010	0000557986	00201010
0000516953	00201010	0000557986	00201010
0000563498	00201010	0000557986	00201010
0000563749	00201010	0000557986	00201010
0000159115	00201010	0000558907	00201010
0000161578	00201010	0000558907	00201010
0000171077	00201010	0000558893	00201010
0000266132	00201010	0000558907	00201010
0000522600	00201010	0000558893	00201010
0000522643	00201010	0000558893	00201010
0000522686	00201010	0000558893	00201010
0000522694	00201010	0000558893	00201010
0000570559	00201010	0000571008	00201010
0000593761	00201010	0000593877	00201010
